"","Country","Year","GC_Top Marginal Rates"
"1","JPN",1964,0.7
"2","JPN",1965,0.7
"3","JPN",1966,0.7
"4","JPN",1967,0.7
"5","JPN",1968,0.7
"6","JPN",1969,0.7
"7","JPN",1970,0.7
"8","JPN",1971,0.7
"9","JPN",1972,0.7
"10","JPN",1973,0.7
"11","JPN",1974,0.7
"12","JPN",1975,0.75
"13","JPN",1976,0.75
"14","JPN",1977,0.75
"15","JPN",1978,0.75
"16","JPN",1979,0.75
"17","JPN",1980,0.75
"18","JPN",1981,0.75
"19","JPN",1982,0.75
"20","JPN",1983,0.75
"21","JPN",1984,0.75
"22","JPN",1985,0.75
"23","JPN",1986,0.75
"24","JPN",1987,0.75
"25","JPN",1988,0.7
"26","JPN",1989,0.7
"27","JPN",1990,0.7
"28","JPN",1991,0.7
"29","JPN",1992,0.7
"30","JPN",1993,0.7
"31","JPN",1994,0.7
"32","JPN",1995,0.7
"33","JPN",1996,0.7
"34","JPN",1997,0.7
"35","JPN",1998,0.7
"36","JPN",1999,0.7
"37","JPN",2000,0.7
"38","JPN",2001,0.7
"39","JPN",2002,0.7
"40","JPN",2003,0.5
"41","JPN",2004,0.5
"42","JPN",2005,0.5
"43","JPN",2006,0.5
"44","JPN",2007,0.5
"45","JPN",2008,0.5
"46","JPN",2009,0.5
"47","JPN",2010,0.5
"48","JPN",2011,0.5
"49","JPN",2012,0.5
"50","JPN",2013,0.5
"51","JPN",2014,0.5
"52","JPN",2015,0.55
"53","JPN",2016,0.55
"54","JPN",2017,0.55
"55","JPN",2018,0.55
"56","JPN",2019,0.55
"57","JPN",2020,0.55
"58","JPN",2021,0.55
"59","USA",1964,0.77
"60","USA",1965,0.77
"61","USA",1966,0.77
"62","USA",1967,0.77
"63","USA",1968,0.77
"64","USA",1969,0.77
"65","USA",1970,0.77
"66","USA",1971,0.77
"67","USA",1972,0.77
"68","USA",1973,0.77
"69","USA",1974,0.77
"70","USA",1975,0.77
"71","USA",1976,0.7
"72","USA",1977,0.7
"73","USA",1978,0.7
"74","USA",1979,0.7
"75","USA",1980,0.7
"76","USA",1981,0.7
"77","USA",1982,0.65
"78","USA",1983,0.6
"79","USA",1984,0.55
"80","USA",1985,0.55
"81","USA",1986,0.55
"82","USA",1987,0.55
"83","USA",1988,0.55
"84","USA",1989,0.55
"85","USA",1990,0.55
"86","USA",1991,0.55
"87","USA",1992,0.55
"88","USA",1993,0.55
"89","USA",1994,0.55
"90","USA",1995,0.55
"91","USA",1996,0.55
"92","USA",1997,0.55
"93","USA",1998,0.55
"94","USA",1999,0.55
"95","USA",2000,0.55
"96","USA",2001,0.55
"97","USA",2002,0.5
"98","USA",2003,0.49
"99","USA",2004,0.48
"100","USA",2005,0.47
"101","USA",2006,0.46
"102","USA",2007,0.45
"103","USA",2008,0.45
"104","USA",2009,0.45
"105","USA",2010,0.35
"106","USA",2011,0.35
"107","USA",2012,0.35
"108","USA",2013,0.4
"109","USA",2014,0.4
"110","USA",2015,0.4
"111","USA",2016,0.4
"112","USA",2017,0.4
"113","USA",2018,0.4
"114","USA",2019,0.4
"115","USA",2020,0.4
"116","USA",2021,0.4
"117","KOR",1964,0.3
"118","KOR",1965,0.3
"119","KOR",1966,0.3
"120","KOR",1967,0.3
"121","KOR",1968,0.7
"122","KOR",1969,0.7
"123","KOR",1970,0.7
"124","KOR",1971,0.7
"125","KOR",1972,0.7
"126","KOR",1973,0.7
"127","KOR",1974,0.7
"128","KOR",1975,0.75
"129","KOR",1976,0.75
"130","KOR",1977,0.75
"131","KOR",1978,0.75
"132","KOR",1979,0.75
"133","KOR",1980,0.67
"134","KOR",1981,0.67
"135","KOR",1982,0.6
"136","KOR",1983,0.6
"137","KOR",1984,0.6
"138","KOR",1985,0.6
"139","KOR",1986,0.6
"140","KOR",1987,0.6
"141","KOR",1988,0.6
"142","KOR",1989,0.55
"143","KOR",1990,0.55
"144","KOR",1991,0.55
"145","KOR",1992,0.55
"146","KOR",1993,0.55
"147","KOR",1994,0.5
"148","KOR",1995,0.4
"149","KOR",1996,0.4
"150","KOR",1997,0.45
"151","KOR",1998,0.45
"152","KOR",1999,0.45
"153","KOR",2000,0.5
"154","KOR",2001,0.5
"155","KOR",2002,0.5
"156","KOR",2003,0.5
"157","KOR",2004,0.5
"158","KOR",2005,0.5
"159","KOR",2006,0.5
"160","KOR",2007,0.5
"161","KOR",2008,0.5
"162","KOR",2009,0.5
"163","KOR",2010,0.5
"164","KOR",2011,0.5
"165","KOR",2012,0.5
"166","KOR",2013,0.5
"167","KOR",2014,0.5
"168","KOR",2015,0.5
"169","KOR",2016,0.5
"170","KOR",2017,0.5
"171","KOR",2018,0.5
"172","KOR",2019,0.5
"173","KOR",2020,0.5
"174","KOR",2021,0.5
"175","GBR",1964,0.8
"176","GBR",1965,0.8
"177","GBR",1966,0.8
"178","GBR",1967,0.8
"179","GBR",1968,0.8
"180","GBR",1969,0.8
"181","GBR",1970,0.8
"182","GBR",1971,0.8
"183","GBR",1972,0.8
"184","GBR",1973,0.8
"185","GBR",1974,0.8
"186","GBR",1975,0.75
"187","GBR",1976,0.75
"188","GBR",1977,0.75
"189","GBR",1978,0.75
"190","GBR",1979,0.75
"191","GBR",1980,0.75
"192","GBR",1981,0.75
"193","GBR",1982,0.75
"194","GBR",1983,0.75
"195","GBR",1984,0.6
"196","GBR",1985,0.6
"197","GBR",1986,0.6
"198","GBR",1987,0.6
"199","GBR",1988,0.4
"200","GBR",1989,0.4
"201","GBR",1990,0.4
"202","GBR",1991,0.4
"203","GBR",1992,0.4
"204","GBR",1993,0.4
"205","GBR",1994,0.4
"206","GBR",1995,0.4
"207","GBR",1996,0.4
"208","GBR",1997,0.4
"209","GBR",1998,0.4
"210","GBR",1999,0.4
"211","GBR",2000,0.4
"212","GBR",2001,0.4
"213","GBR",2002,0.4
"214","GBR",2003,0.4
"215","GBR",2004,0.4
"216","GBR",2005,0.4
"217","GBR",2006,0.4
"218","GBR",2007,0.4
"219","GBR",2008,0.4
"220","GBR",2009,0.4
"221","GBR",2010,0.4
"222","GBR",2011,0.4
"223","GBR",2012,0.4
"224","GBR",2013,0.4
"225","GBR",2014,0.4
"226","GBR",2015,0.4
"227","GBR",2016,0.4
"228","GBR",2017,0.4
"229","GBR",2018,0.4
"230","GBR",2019,0.4
"231","GBR",2020,0.4
"232","GBR",2021,0.4
"233","IRL",1964,0.4
"234","IRL",1965,0.4
"235","IRL",1966,0.4
"236","IRL",1967,0.4
"237","IRL",1968,0.4
"238","IRL",1969,0.4
"239","IRL",1970,0.4
"240","IRL",1971,0.4
"241","IRL",1972,0.55
"242","IRL",1973,0.55
"243","IRL",1974,0.55
"244","IRL",1975,0.5
"245","IRL",1976,0.5
"246","IRL",1977,0.5
"247","IRL",1978,0.5
"248","IRL",1979,0.5
"249","IRL",1980,0.5
"250","IRL",1981,0.5
"251","IRL",1982,0.5
"252","IRL",1983,0.5
"253","IRL",1984,0.55
"254","IRL",1985,0.55
"255","IRL",1986,0.55
"256","IRL",1987,0.55
"257","IRL",1988,0.55
"258","IRL",1989,0.55
"259","IRL",1990,0.55
"260","IRL",1991,0.4
"261","IRL",1992,0.4
"262","IRL",1993,0.4
"263","IRL",1994,0.4
"264","IRL",1995,0.4
"265","IRL",1996,0.4
"266","IRL",1997,0.4
"267","IRL",1998,0.4
"268","IRL",1999,0.4
"269","IRL",2000,0.2
"270","IRL",2001,0.2
"271","IRL",2002,0.2
"272","IRL",2003,0.2
"273","IRL",2004,0.2
"274","IRL",2005,0.2
"275","IRL",2006,0.2
"276","IRL",2007,0.2
"277","IRL",2008,0.2
"278","IRL",2009,0.25
"279","IRL",2010,0.25
"280","IRL",2011,0.25
"281","IRL",2012,0.3
"282","IRL",2013,0.33
"283","IRL",2014,0.33
"284","IRL",2015,0.33
"285","IRL",2016,0.33
"286","IRL",2017,0.33
"287","IRL",2018,0.33
"288","IRL",2019,0.33
"289","IRL",2020,0.33
"290","IRL",2021,0.33
"291","SWE",1964,0.6
"292","SWE",1965,0.6
"293","SWE",1966,0.6
"294","SWE",1967,0.6
"295","SWE",1968,0.6
"296","SWE",1969,0.6
"297","SWE",1970,0.6
"298","SWE",1971,0.65
"299","SWE",1972,0.65
"300","SWE",1973,0.65
"301","SWE",1974,0.65
"302","SWE",1975,0.65
"303","SWE",1976,0.65
"304","SWE",1977,0.65
"305","SWE",1978,0.65
"306","SWE",1979,0.65
"307","SWE",1980,0.65
"308","SWE",1981,0.65
"309","SWE",1982,0.65
"310","SWE",1983,0.7
"311","SWE",1984,0.7
"312","SWE",1985,0.7
"313","SWE",1986,0.7
"314","SWE",1987,0.6
"315","SWE",1988,0.6
"316","SWE",1989,0.6
