"","Country","Country_Name","Year","TaxRev_Income_IPC_1000","TaxRev_Social_SSC_2000","TaxRev_Payroll_PW_3000","TaxRev_Property_4000","TaxRev_ImmovProp_4100","TaxRev_NetWealth_4200","TaxRev_EIG_4300","TaxRev_GoodsServices_5000","TaxRev_Others_6000","TaxRev_TotalofGDP"
"1","AUS","Australia",1990,57.118,0,6.107,8.95,5.277,0,0,27.825,0,28.049
"2","AUS","Australia",1991,55.976,0,6.484,9.775,5.799,0,0,27.765,0,26.614
"3","AUS","Australia",1992,55.441,0,6.234,10.005,5.775,0,0,28.32,0,26.084
"4","AUS","Australia",1993,54.151,0,6.071,10.275,5.419,0,0,29.502,0,26.555
"5","AUS","Australia",1994,54.317,0,6.926,9.288,4.957,0,0,29.469,0,27.438
"6","AUS","Australia",1995,55.361,0,6.825,8.799,4.673,0,0,29.015,0,28.213
"7","AUS","Australia",1996,56.307,0,6.75,8.989,4.596,0,0,27.954,0,28.854
"8","AUS","Australia",1997,56.57,0,6.689,9.197,4.591,0,0,27.543,0,28.611
"9","AUS","Australia",1998,58.949,0,4.677,9.001,4.402,0,0,27.372,0,29.373
"10","AUS","Australia",1999,59.909,0,4.586,9.193,4.281,0,0,26.311,0,29.803
"11","AUS","Australia",2000,57.94,0,4.481,8.766,4.222,0,0,28.813,0,30.38
"12","AUS","Australia",2001,56.223,0,4.504,8.802,4.365,0,0,30.471,0,28.859
"13","AUS","Australia",2002,56.158,0,4.362,8.973,4.361,0,0,30.507,0,29.736
"14","AUS","Australia",2003,56.392,0,4.355,9.468,4.457,0,0,29.785,0,29.833
"15","AUS","Australia",2004,58.308,0,4.411,8.706,4.528,0,0,28.574,0,30.134
"16","AUS","Australia",2005,58.953,0,4.518,8.617,4.458,0,0,27.913,0,29.835
"17","AUS","Australia",2006,58.782,0,4.616,9.193,4.647,0,0,27.41,0,29.284
"18","AUS","Australia",2007,59.444,0,4.731,8.977,4.503,0,0,26.848,0,29.409
"19","AUS","Australia",2008,58.933,0,5.133,8.279,5.241,0,0,27.654,0,26.727
"20","AUS","Australia",2009,55.657,0,5.224,9.629,5.641,0,0,29.489,0,25.402
"21","AUS","Australia",2010,56.674,0,5.184,9.39,5.58,0,0,28.752,0,25.151
"22","AUS","Australia",2011,58.904,0,5.25,8.682,5.366,0,0,27.165,0,25.786
"23","AUS","Australia",2012,57.956,0,5.201,8.737,5.292,0,0,28.106,0,26.82
"24","AUS","Australia",2013,57.067,0,5.151,9.492,5.474,0,0,28.29,0,26.974
"25","AUS","Australia",2014,57.802,0,5.164,10.26,5.682,0,0,26.774,0,27.174
"26","AUS","Australia",2015,56.724,0,5.069,10.672,5.784,0,0,27.535,0,27.796
"27","AUS","Australia",2016,57.321,0,4.917,10.757,5.939,0,0,27.005,0,27.519
"28","AUS","Australia",2017,58.694,0,4.852,10.065,5.761,0,0,26.389,0,28.546
"29","AUS","Australia",2018,60.097,0,4.832,9.533,5.868,0,0,25.538,0,28.622
"30","AUS","Australia",2019,59.174,0,4.682,9.835,6.159,0,0,26.309,0,27.729
"31","AUS","Australia",2020,58.947,0,4.47,10.083,5.841,0,0,26.499,0,28.368
"32","AUS","Australia",2021,61.512,0,4.321,10.89,5.36,0,0,23.277,0,29.482
"33","AUT","Austria",1990,25.531,32.87,6.031,2.726,0.657,1.188,0.142,31.521,1.321,39.288
"34","AUT","Austria",1991,26.558,32.709,6.032,2.74,0.61,1.24,0.153,30.684,1.278,39.748
"35","AUT","Austria",1992,26.871,32.989,5.871,2.708,0.639,1.19,0.182,30.209,1.351,41.282
"36","AUT","Austria",1993,26.965,33.978,5.847,2.598,0.637,1.118,0.144,29.34,1.272,41.688
"37","AUT","Austria",1994,24.758,35.054,6.537,1.568,0.631,0.109,0.132,30.942,1.142,41.701
"38","AUT","Austria",1995,26.129,35.649,6.884,1.483,0.628,0.08,0.113,29.038,0.818,41.271
"39","AUT","Austria",1996,27.643,34.566,6.575,1.422,0.606,0.053,0.115,29.013,0.782,42.641
"40","AUT","Austria",1997,28.495,33.824,6.419,1.327,0.59,0.027,0.11,29.123,0.813,43.44
"41","AUT","Austria",1998,28.803,33.623,6.367,1.316,0.582,0.008,0.122,28.97,0.92,43.447
"42","AUT","Austria",1999,28.199,33.797,6.4,1.329,0.586,0.008,0.136,29.466,0.81,43.09
"43","AUT","Austria",2000,28.291,33.778,6.408,1.336,0.583,0.001,0.123,29.335,0.852,42.285
"44","AUT","Austria",2001,31.031,32.456,6.198,1.3,0.563,0,0.171,28.196,0.819,43.886
"45","AUT","Austria",2002,29.334,32.925,6.339,1.246,0.574,0,0.153,29.287,0.868,42.697
"46","AUT","Austria",2003,29.132,33.224,6.365,1.284,0.587,0,0.16,29.173,0.823,42.409
"47","AUT","Austria",2004,28.921,33.403,6.273,1.287,0.579,0,0.152,29.232,0.882,41.958
"48","AUT","Austria",2005,28.333,33.885,6.309,1.32,0.582,0,0.134,29.324,0.829,41.012
"49","AUT","Austria",2006,28.682,34.029,6.344,1.395,0.567,0,0.122,28.712,0.838,40.408
"50","AUT","Austria",2007,29.804,33.395,6.31,1.365,0.544,0,0.135,28.319,0.806,40.548
"51","AUT","Austria",2008,30.611,33.034,6.515,1.262,0.535,0,0.112,27.794,0.784,41.391
"52","AUT","Austria",2009,27.77,34.422,6.899,1.28,0.565,0,0.098,28.792,0.837,40.98
"53","AUT","Austria",2010,28.072,34.179,6.897,1.283,0.563,0,0.029,28.665,0.903,40.958
"54","AUT","Austria",2011,28.289,33.993,6.866,1.236,0.544,0,0.026,28.901,0.715,41.119
"55","AUT","Austria",2012,28.602,33.749,6.88,1.326,0.533,0,0.016,28.722,0.72,41.767
"56","AUT","Austria",2013,28.814,33.922,6.871,1.695,0.533,0,0.014,28.024,0.674,42.635
"57","AUT","Austria",2014,29.338,33.96,6.875,1.399,0.526,0,0.003,27.873,0.556,42.699
"58","AUT","Austria",2015,30.172,33.587,6.763,1.324,0.513,0,0.008,27.658,0.497,43.126
"59","AUT","Austria",2016,27.978,34.711,6.966,1.308,0.516,0,0.002,28.535,0.502,41.753
"60","AUT","Austria",2017,28.279,34.863,6.624,1.256,0.521,0,0,28.463,0.515,41.871
"61","AUT","Austria",2018,29.332,34.806,6.397,1.29,0.496,0,0.005,27.698,0.476,42.261
"62","AUT","Austria",2019,29.475,34.908,6.366,1.275,0.49,0,0,27.495,0.481,42.615
"63","AUT","Austria",2020,27.779,36.809,6.515,1.369,0.537,0,0,27.1,0.429,42.086
"64","AUT","Austria",2021,29.51,35.415,6.455,1.455,0.506,0,0,26.743,0.422,43.284
"65","BEL","Belgium",1990,36.903,33.215,0,3.805,0.851,0,0.715,26.077,0,41.393
"66","BEL","Belgium",1991,36.153,34.302,0,3.699,0.927,0,0.78,25.847,0,41.608
"67","BEL","Belgium",1992,35.198,35.125,0,3.709,0.935,0,0.73,25.968,0,41.18
"68","BEL","Belgium",1993,36.326,34.433,0,3.953,0.981,0.005,0.751,25.288,0,42.632
"69","BEL","Belgium",1994,36.8,33.46,0,4.028,0.986,0.008,0.745,25.712,0,42.913
"70","BEL","Belgium",1995,38.118,32.772,0,3.82,1.024,0.008,0.763,25.29,0,42.837
"71","BEL","Belgium",1996,37.671,32.538,0,4.109,1.12,0.011,0.841,25.682,0,43.351
"72","BEL","Belgium",1997,38.195,31.789,0,4.39,1.122,0.058,0.773,25.627,0,43.812
"73","BEL","Belgium",1998,38.918,31.458,0,4.667,1.09,0.065,0.863,24.957,0,44.437
"74","BEL","Belgium",1999,37.93,31.464,0,4.661,1.047,0.075,0.884,25.946,0,44.239
"75","BEL","Belgium",2000,38.624,30.806,0,4.698,1.036,0.082,0.979,25.872,0,43.849
"76","BEL","Belgium",2001,39.163,31.325,0,4.539,1.012,0.083,0.981,24.973,0,43.692
"77","BEL","Belgium",2002,38.715,31.672,0,4.49,1.073,0.086,0.977,25.069,0.054,43.913
"78","BEL","Belgium",2003,38.082,31.847,0,4.717,1.112,0.085,1.06,25.301,0.053,43.344
"79","BEL","Belgium",2004,37.96,31.062,0,5.247,1.056,0.117,1.211,25.686,0.045,43.471
"80","BEL","Belgium",2005,36.364,30.677,0.003,6.971,2.85,0.14,1.301,25.933,0.051,43.357
"81","BEL","Belgium",2006,36.114,30.689,0.004,7.273,2.855,0.149,1.388,25.869,0.05,43.218
"82","BEL","Belgium",2007,35.802,31.107,0.004,7.154,2.811,0.171,1.392,25.892,0.041,42.92
"83","BEL","Belgium",2008,35.997,31.63,0.004,7.02,2.821,0.159,1.434,25.311,0.038,43.593
"84","BEL","Belgium",2009,33.889,33.441,0.004,6.926,3.001,0.141,1.386,25.7,0.04,42.699
"85","BEL","Belgium",2010,34.191,32.44,0.004,7.226,2.975,0.152,1.457,26.116,0.023,42.882
"86","BEL","Belgium",2011,34.71,32.365,0.005,7.298,2.967,0.156,1.488,25.596,0.026,43.508
"87","BEL","Belgium",2012,34.642,32.17,0.005,7.386,2.862,0.192,1.594,25.771,0.027,44.331
"88","BEL","Belgium",2013,35.446,31.839,0.004,7.803,2.932,0.255,1.75,24.881,0.026,45.033
"89","BEL","Belgium",2014,35.802,31.652,0.004,7.905,2.962,0.346,1.53,24.614,0.024,44.75
"90","BEL","Belgium",2015,35.644,31.917,0.005,7.838,2.955,0.359,1.63,24.576,0.021,44.115
"91","BEL","Belgium",2016,35.533,31.143,0.004,8.026,3.027,0.567,1.573,25.293,0,43.288
"92","BEL","Belgium",2017,36.521,30.62,0.004,7.897,2.952,0.476,1.6,24.958,0,43.797
"93","BEL","Belgium",2018,36.819,30.271,0.004,7.853,2.82,0.472,1.585,25.054,0,43.824
"94","BEL","Belgium",2019,35.386,31.104,0.004,8.063,3.029,0.454,1.447,25.442,0,42.389
"95","BEL","Belgium",2020,35.586,31.964,0.002,8.035,3.117,0.506,1.526,24.414,0,42.266
"96","BEL","Belgium",2021,35.704,30.634,0.002,8.425,2.924,0.482,1.715,25.236,0,42.518
"97","CAN","Canada",1990,48.562,12.145,2.252,10.021,8.269,0.783,0.001,25.841,1.178,35.072
"98","CAN","Canada",1991,47.046,13.142,2.242,10.451,8.738,0.723,0.001,25.89,1.229,35.503
"99","CAN","Canada",1992,44.745,14.209,2.221,11.124,9.422,0.89,0.002,26.337,1.364,35.067
"100","CAN","Canada",1993,44.297,14.196,2.229,11.252,9.535,0.933,0.001,26.678,1.348,34.444
"101","CAN","Canada",1994,44.761,14.581,2.171,11.047,9.321,0.958,0,26.166,1.274,34.403
"102","CAN","Canada",1995,46.437,13.992,2.242,10.662,9.007,1.005,0.001,25.405,1.263,34.628
"103","CAN","Canada",1996,47.15,14.002,2.174,10.525,8.781,1.059,0,24.968,1.181,34.941
"104","CAN","Canada",1997,48.847,13.312,2.052,10.254,8.429,1.075,0.001,24.431,1.104,35.791
"105","CAN","Canada",1998,48.358,13.879,2.092,10.378,8.586,1.083,0.001,24.746,0.547,35.711
"106","CAN","Canada",1999,49.854,13.384,2.069,10.06,8.293,1.046,0.001,24.067,0.567,35.487
"107","CAN","Canada",2000,50.052,13.61,2.053,9.522,7.75,1.069,0.001,24.208,0.555,34.673
"108","CAN","Canada",2001,47.806,14.194,2.009,10.749,8.792,0.934,0,24.722,0.52,34.085
"109","CAN","Canada",2002,45.213,15.216,2.052,10.818,8.878,0.837,0,26.205,0.496,33.081
"110","CAN","Canada",2003,45.016,15.464,2.086,10.818,8.889,0.731,0,26.269,0.347,32.7
"111","CAN","Canada",2004,46.194,14.939,2.031,10.795,8.786,0.754,0,25.735,0.305,32.713
"112","CAN","Canada",2005,47.027,14.76,1.988,10.724,8.689,0.744,0,25.182,0.319,32.661
"113","CAN","Canada",2006,48.439,14.569,1.961,10.589,8.617,0.682,0,24.374,0.068,32.725
"114","CAN","Canada",2007,48.999,14.38,1.958,10.632,8.693,0.579,0,23.964,0.067,32.495
"115","CAN","Canada",2008,49.391,14.475,2.007,11.516,9.171,0.412,0.034,22.499,0.11,31.235
"116","CAN","Canada",2009,47.778,15.029,2.054,12.152,9.813,0.386,0.036,22.871,0.116,32.346
"117","CAN","Canada",2010,46.644,14.864,2.083,12.338,10.008,0.295,0.034,23.956,0.115,31.007
"118","CAN","Canada",2011,47.329,14.733,2.115,11.971,9.8,0.173,0.038,23.734,0.117,30.803
"119","CAN","Canada",2012,47.458,15.073,2.089,11.883,9.781,0.111,0.035,23.376,0.12,31.177
"120","CAN","Canada",2013,47.583,15.264,2.108,11.896,9.755,0.07,0.037,23.032,0.118,31.132
"121","CAN","Canada",2014,48.086,14.969,2.074,11.749,9.664,0.058,0.036,23.006,0.116,31.266
"122","CAN","Canada",2015,48.195,14.752,2.029,11.906,9.59,0.057,0.041,23.004,0.115,32.82
"123","CAN","Canada",2016,48.133,14.696,2.031,12.052,9.692,0.061,0.039,22.978,0.11,33.258
"124","CAN","Canada",2017,48.391,13.994,2.022,11.898,9.455,0.062,0.043,23.581,0.114,33.044
"125","CAN","Canada",2018,49.256,13.888,1.986,11.501,9.174,0.06,0.045,23.251,0.118,33.482
"126","CAN","Canada",2019,48.967,14.16,2.271,11.694,9.356,0.06,0.045,22.783,0.125,33.082
"127","CAN","Canada",2020,50.98,14.04,2.243,11.704,9.408,0.06,0.044,20.916,0.117,34.7
"128","CAN","Canada",2021,50.971,13.966,2.211,11.301,8.705,0.054,0.052,21.442,0.109,33.919
"129","CZE","Czechia",1993,25.434,38.576,1.433,1.057,0.69,0,0.039,33.319,0.182,36.732
"130","CZE","Czechia",1994,24.815,40.077,0.201,1.235,0.779,0,0.091,33.504,0.168,35.479
"131","CZE","Czechia",1995,24.99,41.379,0,1.386,0.686,0,0.071,32.145,0.099,34.497
"132","CZE","Czechia",1996,22.574,42.977,0,1.477,0.659,0,0.077,32.911,0.061,33.108
"133","CZE","Czechia",1997,23.808,43.571,0,1.548,0.598,0,0.087,31.04,0.033,33.396
"134","CZE","Czechia",1998,23.128,44.3,0,1.574,0.594,0,0.079,30.976,0.023,32.298
"135","CZE","Czechia",1999,23.106,43.509,0,1.373,0.572,0,0.072,31.987,0.025,33.122
"136","CZE","Czechia",2000,22.79,44.265,0,1.411,0.579,0,0.076,31.488,0.046,32.335
"137","CZE","Czechia",2001,23.906,44.065,0,1.483,0.543,0,0.082,30.514,0.032,32.405
"138","CZE","Czechia",2002,24.758,44.083,0,1.441,0.511,0,0.084,29.692,0.026,33.275
"139","CZE","Czechia",2003,25.422,43.53,0,1.403,0.503,0,0.089,29.614,0.032,34.099
"140","CZE","Czechia",2004,24.999,42.341,0,1.098,0.466,0,0.058,31.534,0.028,34.495
"141","CZE","Czechia",2005,24.32,42.819,0,1.159,0.444,0,0.065,31.698,0.005,34.234
"142","CZE","Czechia",2006,24.583,43.641,0,1.177,0.42,0,0.067,30.596,0.003,33.842
"143","CZE","Czechia",2007,24.903,43.566,0,1.177,0.389,0,0.035,30.351,0.002,34.102
"144","CZE","Czechia",2008,22.662,44.239,0,1.13,0.386,0,0.019,31.967,0.001,33.298
"145","CZE","Czechia",2009,21.227,43.953,0,1.11,0.502,0,0.018,33.692,0.017,32.088
"146","CZE","Czechia",2010,20.199,44.762,0,1.272,0.68,0,0.017,33.755,0.012,32.229
"147","CZE","Czechia",2011,20.309,43.903,0,1.524,0.632,0,0.328,34.254,0.01,33.025
"148","CZE","Czechia",2012,20.483,43.652,0,1.503,0.698,0,0.248,34.348,0.014,33.438
"149","CZE","Czechia",2013,20.784,43.183,0,1.376,0.705,0,0.015,34.653,0.005,33.71
"150","CZE","Czechia",2014,21.414,43.814,0,1.368,0.696,0,0,33.397,0.006,32.851
"151","CZE","Czechia",2015,21.517,43.048,0,1.43,0.674,0,0.001,33.979,0.025,33.134
"152","CZE","Czechia",2016,22.167,42.856,0,1.435,0.65,0,0.001,33.508,0.034,34.031
"153","CZE","Czechia",2017,22.191,43.021,0,1.355,0.613,0,0.001,33.382,0.051,34.438
"154","CZE","Czechia",2018,22.563,43.844,0,1.301,0.574,0,0,32.278,0.014,34.975
"155","CZE","Czechia",2019,22.778,44.149,0,1.196,0.544,0,0,31.867,0.011,34.778
"156","CZE","Czechia",2020,22.929,45.44,0,0.585,0.585,0,0,31.038,0.009,34.757
"157","CZE","Czechia",2021,20.761,47.345,0,0.563,0.559,0,0,31.321,0.01,34.742
"158","DNK","Denmark",1990,61.16,0.027,0.656,4.283,2.341,0.246,0.578,33.874,0,44.397
"159","DNK","Denmark",1991,61.347,0.049,0.678,3.861,2.234,0.196,0.549,34.065,0,43.777
"160","DNK","Denmark",1992,62.058,0.053,0.648,4.115,2.203,0.196,0.574,33.125,0,44.136
"161","DNK","Denmark",1993,62.095,0.05,1.123,4.287,2.532,0.204,0.583,32.446,0,45.462
"162","DNK","Denmark",1994,62.668,0.041,0.554,3.864,2.297,0.182,0.481,32.874,0,46.529
"163","DNK","Denmark",1995,63.104,0.117,0.469,3.579,2.142,0.193,0.492,32.732,0,46.499
"164","DNK","Denmark",1996,62.595,0.137,0.449,3.427,2.029,0.135,0.449,33.392,0,46.713
"165","DNK","Denmark",1997,62.216,0.189,0.605,3.475,2.104,0,0.402,33.484,0.031,46.727
"166","DNK","Denmark",1998,60.531,0.179,0.839,3.733,2.066,0,0.386,34.665,0.054,47.298
"167","DNK","Denmark",1999,59.956,1.35,0.652,3.693,2.153,0,0.401,34.296,0.052,47.875
"168","DNK","Denmark",2000,61.423,1.359,0.363,3.334,2.181,0,0.46,33.458,0.063,46.875
"169","DNK","Denmark",2001,60.409,1.385,0.546,3.551,2.327,0,0.43,34.067,0.043,45.919
"170","DNK","Denmark",2002,60.651,0.252,0.522,3.699,2.436,0,0.397,34.835,0.041,45.405
"171","DNK","Denmark",2003,61.105,0.251,0.443,3.894,2.521,0,0.416,34.281,0.027,45.583
"172","DNK","Denmark",2004,61.349,0.238,0.414,3.864,2.449,0,0.46,34.106,0.03,46.393
"173","DNK","Denmark",2005,61.998,0.224,0.382,3.844,2.294,0,0.414,33.525,0.027,48.004
"174","DNK","Denmark",2006,60.917,0.214,0.41,3.939,2.337,0,0.451,34.495,0.024,46.462
"175","DNK","Denmark",2007,60.102,0.159,0.492,3.909,2.353,0,0.482,35.314,0.024,46.425
"176","DNK","Denmark",2008,60.765,0.135,0.521,4.261,2.665,0,0.589,34.291,0.027,44.765
"177","DNK","Denmark",2009,61.409,0.131,0.536,4.064,2.914,0,0.473,33.835,0.024,44.963
"178","DNK","Denmark",2010,61.548,0.224,0.513,4.137,2.981,0,0.449,33.553,0.025,44.756
"179","DNK","Denmark",2011,61.255,0.247,0.56,4.22,3.024,0,0.579,33.697,0.021,44.793
"180","DNK","Denmark",2012,61.947,0.211,0.643,3.916,2.878,0,0.469,33.26,0.022,45.512
"181","DNK","Denmark",2013,62.775,0.183,0.692,3.952,2.978,0,0.445,32.381,0.017,45.888
"182","DNK","Denmark",2014,65.359,0.151,0.66,3.774,2.824,0,0.4,30.033,0.023,48.531
"183","DNK","Denmark",2015,63.401,0.147,0.628,4.176,2.995,0,0.552,31.613,0.034,46.057
"184","DNK","Denmark",2016,62.903,0.125,0.616,4.035,2.965,0,0.442,32.293,0.029,45.494
"185","DNK","Denmark",2017,63.482,0.106,0.551,3.936,2.854,0,0.438,31.898,0.027,45.476
"186","DNK","Denmark",2018,62.072,0.107,0.634,4.141,2.971,0,0.484,33.02,0.027,44.175
"187","DNK","Denmark",2019,64.76,0.091,0.603,4.275,2.821,0,0.789,30.244,0.027,46.896
"188","DNK","Denmark",2020,64.722,0.124,0.383,4.162,2.88,0,0.61,30.584,0.024,47.252
"189","DNK","Denmark",2021,66.414,0.127,0.547,3.895,2.681,0,0.506,28.994,0.023,47.425
"190","FIN","Finland",1990,39.237,25.637,0,2.448,0.195,0.069,0.374,32.55,0.128,42.934
