"","Country","Year","v2peedueq","v2x_corr","v2x_libdem"
"1","MEX",1789,NA,0.68,0.042
"2","MEX",1790,NA,0.68,0.042
"3","MEX",1791,NA,0.68,0.042
"4","MEX",1792,NA,0.68,0.042
"5","MEX",1793,NA,0.68,0.042
"6","MEX",1794,NA,0.68,0.042
"7","MEX",1795,NA,0.68,0.042
"8","MEX",1796,NA,0.68,0.042
"9","MEX",1797,NA,0.68,0.042
"10","MEX",1798,NA,0.68,0.042
"11","MEX",1799,NA,0.68,0.042
"12","MEX",1800,NA,0.68,0.042
"13","MEX",1801,NA,0.68,0.042
"14","MEX",1802,NA,0.68,0.042
"15","MEX",1803,NA,0.68,0.042
"16","MEX",1804,NA,0.68,0.042
"17","MEX",1805,NA,0.68,0.042
"18","MEX",1806,NA,0.68,0.042
"19","MEX",1807,NA,0.68,0.042
"20","MEX",1808,NA,0.68,0.042
"21","MEX",1809,NA,0.68,0.046
"22","MEX",1810,NA,0.68,0.044
"23","MEX",1811,NA,0.68,0.044
"24","MEX",1812,NA,0.68,0.049
"25","MEX",1813,NA,0.68,0.049
"26","MEX",1814,NA,0.68,0.049
"27","MEX",1815,NA,0.68,0.049
"28","MEX",1816,NA,0.68,0.047
"29","MEX",1817,NA,0.68,0.047
"30","MEX",1818,NA,0.68,0.047
"31","MEX",1819,NA,0.68,0.047
"32","MEX",1820,NA,0.68,0.03
"33","MEX",1821,NA,0.689,0.037
"34","MEX",1822,NA,0.522,0.107
"35","MEX",1823,NA,0.522,0.121
"36","MEX",1824,NA,0.61,0.132
"37","MEX",1825,NA,0.61,0.138
"38","MEX",1826,NA,0.61,0.138
"39","MEX",1827,NA,0.61,0.138
"40","MEX",1828,NA,0.61,0.138
"41","MEX",1829,NA,0.61,0.138
"42","MEX",1830,NA,0.61,0.132
"43","MEX",1831,NA,0.61,0.124
"44","MEX",1832,NA,0.61,0.127
"45","MEX",1833,NA,0.61,0.132
"46","MEX",1834,NA,0.61,0.132
"47","MEX",1835,NA,0.61,0.132
"48","MEX",1836,NA,0.61,0.141
"49","MEX",1837,NA,0.61,0.136
"50","MEX",1838,NA,0.61,0.136
"51","MEX",1839,NA,0.61,0.136
"52","MEX",1840,NA,0.61,0.148
"53","MEX",1841,NA,0.61,0.121
"54","MEX",1842,NA,0.61,0.128
"55","MEX",1843,NA,0.61,0.16
"56","MEX",1844,NA,0.61,0.16
"57","MEX",1845,NA,0.61,0.16
"58","MEX",1846,NA,0.61,0.13
"59","MEX",1847,NA,0.61,0.137
"60","MEX",1848,NA,0.61,0.142
"61","MEX",1849,NA,0.61,0.142
"62","MEX",1850,NA,0.734,0.123
"63","MEX",1851,NA,0.734,0.123
"64","MEX",1852,NA,0.734,0.123
"65","MEX",1853,NA,0.734,0.123
"66","MEX",1854,NA,0.609,0.142
"67","MEX",1855,NA,0.609,0.142
"68","MEX",1856,NA,0.609,0.143
"69","MEX",1857,NA,0.649,0.137
"70","MEX",1858,NA,0.649,0.111
"71","MEX",1859,NA,0.649,0.11
"72","MEX",1860,NA,0.649,0.113
"73","MEX",1861,NA,0.649,0.114
"74","MEX",1862,NA,0.649,0.114
"75","MEX",1863,NA,0.649,0.114
"76","MEX",1864,NA,0.649,0.114
"77","MEX",1865,NA,0.582,0.059
"78","MEX",1866,NA,0.582,0.059
"79","MEX",1867,NA,0.651,0.107
"80","MEX",1868,NA,0.651,0.112
"81","MEX",1869,NA,0.651,0.112
"82","MEX",1870,NA,0.658,0.113
"83","MEX",1871,NA,0.658,0.113
"84","MEX",1872,NA,0.658,0.113
"85","MEX",1873,NA,0.658,0.113
