"","Country","Year","Unemployment_rate","GDP_constant_billions","GDP_current_billions"
"1","ABW",1960,NA,NA,NA
"2","ABW",1961,NA,NA,NA
"3","ABW",1962,NA,NA,NA
"4","ABW",1963,NA,NA,NA
"5","ABW",1964,NA,NA,NA
"6","ABW",1965,NA,NA,NA
"7","ABW",1966,NA,NA,NA
"8","ABW",1967,NA,NA,NA
"9","ABW",1968,NA,NA,NA
"10","ABW",1969,NA,NA,NA
"11","ABW",1970,NA,NA,NA
"12","ABW",1971,NA,NA,NA
"13","ABW",1972,NA,NA,NA
"14","ABW",1973,NA,NA,NA
"15","ABW",1974,NA,NA,NA
"16","ABW",1975,NA,NA,NA
"17","ABW",1976,NA,NA,NA
"18","ABW",1977,NA,NA,NA
"19","ABW",1978,NA,NA,NA
"20","ABW",1979,NA,NA,NA
"21","ABW",1980,NA,NA,NA
"22","ABW",1981,NA,NA,NA
"23","ABW",1982,NA,NA,NA
"24","ABW",1983,NA,NA,NA
"25","ABW",1984,NA,NA,NA
"26","ABW",1985,NA,NA,NA
"27","ABW",1986,NA,1.04006780597066,0.405586592178771
"28","ABW",1987,NA,1.20729439438163,0.487709497206704
"29","ABW",1988,NA,1.43243848414469,0.596648044692737
"30","ABW",1989,NA,1.60619098820097,0.695530726256983
"31","ABW",1990,NA,1.6698186657427,0.764804469273743
"32","ABW",1991,6.08,1.80278418446057,0.872067039106145
"33","ABW",1992,NA,1.90883033120679,0.958659217877095
"34","ABW",1993,NA,2.04832179638489,1.08324022346369
"35","ABW",1994,6.45,2.21636409472579,1.24581005586592
"36","ABW",1995,NA,2.27281807284657,1.32067039106145
"37","ABW",1996,NA,2.2997688884382,1.37988826815642
"38","ABW",1997,7.45,2.46183072712083,1.53184357541899
"39","ABW",1998,NA,2.5108700123673,1.66536312849162
"40","ABW",1999,NA,2.54195563372044,1.72290502793296
"41","ABW",2000,6.92,2.73572689436234,1.87345251396648
"42","ABW",2001,6.9,2.85013506534526,1.89645698324022
"43","ABW",2002,NA,2.82320258063466,1.96184357541899
"44","ABW",2003,NA,2.85455438672823,2.04411173184358
"45","ABW",2004,NA,3.06275784613129,2.25483072625698
"46","ABW",2005,NA,3.05102320785273,2.36001731843575
"47","ABW",2006,NA,3.08542081352388,2.46978268156425
"48","ABW",2007,5.71,3.1807462441035,2.67764134078212
"49","ABW",2008,NA,3.23913697390597,2.84302458100559
"50","ABW",2009,NA,2.86087891412265,2.55379329608939
"51","ABW",2010,10.6,2.78267805616304,2.45359720670391
"52","ABW",2011,8.9,2.87643310604638,2.63785921787709
"53","ABW",2012,NA,2.84649518638325,2.61520837988827
"54","ABW",2013,NA,3.02956700690354,2.72784972067039
"55","ABW",2014,NA,2.9815006649605,2.79084972067039
"56","ABW",2015,NA,2.96290726256983,2.96290726256983
"57","ABW",2016,NA,3.01385813038083,2.98363519553073
"58","ABW",2017,NA,3.22629092308041,3.09242905027933
"59","ABW",2018,NA,3.30313246593437,3.2761843575419
"60","ABW",2019,NA,3.22706671450225,3.39579888268156
"61","ABW",2020,NA,2.45313284689402,2.55890630388098
"62","ABW",2021,NA,3.13116299136718,3.10318410151354
"63","ABW",2022,NA,3.45862995385751,3.54470778805664
"64","ABW",NA,NA,NA,NA
"65","AFE",1960,NA,154.776434786735,18.4780951421781
"66","AFE",1961,NA,155.170922764487,19.3663142940882
"67","AFE",1962,NA,167.531569480768,20.5064671778699
"68","AFE",1963,NA,176.156439119017,22.2427344910409
"69","AFE",1964,NA,184.223200667451,24.2943297799037
"70","AFE",1965,NA,194.072161938963,26.6195608065041
"71","AFE",1966,NA,201.710676411054,28.7327928251557
"72","AFE",1967,NA,212.321760523154,31.592963095075
"73","AFE",1968,NA,220.83737176631,34.2165060037724
"74","AFE",1969,NA,232.497378674923,38.4986859023198
"75","AFE",1970,NA,243.385727855893,41.9389077155921
"76","AFE",1971,NA,256.530398991445,45.920167032339
"77","AFE",1972,NA,262.083945643794,49.440744172338
"78","AFE",1973,NA,273.719576026661,64.9338254294261
"79","AFE",1974,NA,289.849863146315,79.8881461730089
"80","AFE",1975,NA,294.91577947547,84.955085378787
"81","AFE",1976,NA,303.344652563701,85.0503001292175
"82","AFE",1977,NA,307.148315620719,94.5669220816133
"83","AFE",1978,NA,310.436023889078,105.623414443521
"84","AFE",1979,NA,319.150683939338,125.656371097882
"85","AFE",1980,NA,336.37698701612,166.475050971984
"86","AFE",1981,NA,350.781532892947,173.673510912351
"87","AFE",1982,NA,352.598636597311,164.114068718601
"88","AFE",1983,NA,353.238520272968,175.108664048273
"89","AFE",1984,NA,363.933316306744,162.752141155351
"90","AFE",1985,NA,362.407339175645,135.795509169566
"91","AFE",1986,NA,370.705776123606,153.36868341431
"92","AFE",1987,NA,386.415494307494,186.594742538673
"93","AFE",1988,NA,401.945579784631,205.635932770809
"94","AFE",1989,NA,413.589716752078,218.577418670295
"95","AFE",1990,NA,413.477153839607,254.673510115591
"96","AFE",1991,NA,414.054067865498,275.62202126109
"97","AFE",1992,NA,405.76977348645,240.210577721912
"98","AFE",1993,NA,404.064665891272,238.353057845691
"99","AFE",1994,NA,412.076320219798,241.15802989041
"100","AFE",1995,NA,430.017178008475,270.813961389262
"101","AFE",1996,NA,453.506098163099,268.992901985369
"102","AFE",1997,NA,473.657401001161,284.065411886655
"103","AFE",1998,NA,482.432462943831,267.2866899393
"104","AFE",1999,NA,495.234067636548,263.674195227713
"105","AFE",2000,NA,511.817344486484,285.403765401254
"106","AFE",2001,NA,530.429854471673,260.218617002669
"107","AFE",2002,NA,551.269572100379,267.142068310105
"108","AFE",2003,NA,568.392769856548,354.907412306554
"109","AFE",2004,NA,599.800056399211,441.359590323394
"110","AFE",2005,NA,636.577268540257,514.927086452789
"111","AFE",2006,NA,678.43741892566,578.633287253354
"112","AFE",2007,NA,723.204961899834,664.099392606403
"113","AFE",2008,NA,754.513172395923,711.800460143432
"114","AFE",2009,NA,759.495760493713,723.512528253909
"115","AFE",2010,NA,798.664754159611,867.040920627224
"116","AFE",2011,NA,828.230148633093,971.667511047106
"117","AFE",2012,NA,835.532442009735,979.996860991405
"118","AFE",2013,NA,870.763565615522,986.342932619106
"119","AFE",2014,NA,905.660085547335,1006.99248135394
"120","AFE",2015,NA,932.513471557123,932.513471557123
"121","AFE",2016,NA,953.206081711334,890.051427265996
"122","AFE",2017,NA,977.721984314083,1028.39429126059
"123","AFE",2018,NA,1002.08050688549,1012.52142529635
"124","AFE",2019,NA,1022.52913171811,1006.19100019048
"125","AFE",2020,NA,993.908151992364,928.880235176594
"126","AFE",2021,NA,1036.65058394943,1086.5307049005
"127","AFE",2022,NA,1072.26095970431,1185.13770365099
"128","AFE",NA,NA,NA,NA
"129","AFG",1960,NA,NA,0.537777811111111
"130","AFG",1961,NA,NA,0.548888895555556
"131","AFG",1962,NA,NA,0.546666677777778
"132","AFG",1963,NA,NA,0.751111191111111
"133","AFG",1964,NA,NA,0.800000044444444
"134","AFG",1965,NA,NA,1.00666663777778
"135","AFG",1966,NA,NA,1.39999996666667
