"","Year","Wealth_Gini","Wealth_Share_bottom50","Wealth_Share_top10","Wealth_Share_top1","Country"
"1",1995,0.856427860992795,0.0092,0.7403,0.4122,"ARE"
"2",1996,0.856253120849516,0.0093,0.7401,0.412,"ARE"
"3",1997,0.857074882832194,0.0093,0.7417,0.4157,"ARE"
"4",1998,0.86173753945485,0.0088,0.7499,0.4344,"ARE"
"5",1999,0.857161436316829,0.009,0.7412,0.4131,"ARE"
"6",2000,0.857939051713032,0.0087,0.7421,0.4139,"ARE"
"7",2001,0.859147583465273,0.0083,0.7434,0.415,"ARE"
"8",2002,0.860730646440174,0.0076,0.7448,0.4166,"ARE"
"9",2003,0.861968652701933,0.0072,0.7467,0.4185,"ARE"
"10",2004,0.863899183748146,0.0064,0.7485,0.4201,"ARE"
"11",2005,0.865137989050538,0.006,0.7498,0.4214,"ARE"
"12",2006,0.866779447064289,0.0055,0.752,0.4237,"ARE"
"13",2007,0.869672150310265,0.0043,0.7549,0.4267,"ARE"
"14",2008,0.8732384894723,0.0033,0.7593,0.4316,"ARE"
"15",2009,0.877169323695199,0.0022,0.7644,0.4377,"ARE"
"16",2010,0.876155722930775,0.0022,0.7626,0.4344,"ARE"
"17",2011,0.87665314427062,0.0021,0.7633,0.435,"ARE"
"18",2012,0.876204280768548,0.0022,0.7627,0.4344,"ARE"
"19",2013,0.876665355070429,0.0021,0.7633,0.4351,"ARE"
"20",2014,0.876298313645378,0.0022,0.763,0.4346,"ARE"
"21",2015,0.876886218426023,0.002,0.7635,0.4352,"ARE"
"22",2016,0.876492155633599,0.0021,0.7631,0.4346,"ARE"
"23",2017,0.876898369664843,0.002,0.7635,0.4353,"ARE"
"24",2018,0.876898369664843,0.002,0.7635,0.4353,"ARE"
"25",2019,0.876504332002895,0.0021,0.7631,0.4347,"ARE"
"26",2020,0.876516639762031,0.0021,0.7631,0.4347,"ARE"
"27",2021,0.876540964006949,0.0021,0.7631,0.4349,"ARE"
"28",2022,0.877931201864783,0.0011,0.764,0.4353,"ARE"
"29",1995,0.735715923018503,0.0451,0.583,0.2448,"AFG"
"30",1996,0.734931960758544,0.0451,0.5816,0.2437,"AFG"
"31",1997,0.735654226994725,0.045,0.5828,0.2448,"AFG"
"32",1998,0.736826595844406,0.0445,0.5842,0.246,"AFG"
"33",1999,0.735578681183242,0.045,0.5827,0.2446,"AFG"
"34",2000,0.736826595844406,0.0445,0.5842,0.246,"AFG"
"35",2001,0.737188872049913,0.0445,0.5849,0.2471,"AFG"
"36",2002,0.738040178545404,0.0442,0.5861,0.2482,"AFG"
"37",2003,0.737136997842015,0.0445,0.5848,0.247,"AFG"
"38",2004,0.738733580787198,0.0441,0.5873,0.2496,"AFG"
"39",2005,0.739560232744978,0.0439,0.5886,0.2505,"AFG"
"40",2006,0.740258879550183,0.0437,0.5895,0.2517,"AFG"
"41",2007,0.738014008411241,0.0442,0.5861,0.2481,"AFG"
"42",2008,0.737381704853021,0.0444,0.5851,0.2473,"AFG"
"43",2009,0.737535492702293,0.0444,0.5854,0.2476,"AFG"
"44",2010,0.737381704853021,0.0444,0.5851,0.2473,"AFG"
"45",2011,0.735190544879003,0.045,0.582,0.2442,"AFG"
"46",2012,0.735578681183242,0.045,0.5827,0.2446,"AFG"
"47",2013,0.735654226994725,0.045,0.5828,0.2448,"AFG"
"48",2014,0.734660915361616,0.0451,0.5811,0.2432,"AFG"
"49",2015,0.734917477450765,0.0451,0.5815,0.2437,"AFG"
"50",2016,0.736930315685086,0.0445,0.5844,0.2463,"AFG"
"51",2017,0.73756170245295,0.0444,0.5854,0.2477,"AFG"
"52",2018,0.737578446941583,0.0444,0.5855,0.2477,"AFG"
"53",2019,0.73756170245295,0.0444,0.5854,0.2477,"AFG"
"54",2020,0.73756170245295,0.0444,0.5854,0.2477,"AFG"
"55",2021,0.73756170245295,0.0444,0.5854,0.2477,"AFG"
"56",2022,0.738118390065708,0.044,0.5857,0.2478,"AFG"
"57",1995,0.720588111458511,0.0477,0.5576,0.2208,"ALB"
"58",1996,0.720588111458511,0.0477,0.5576,0.2208,"ALB"
"59",1997,0.721303612699529,0.0474,0.5584,0.2215,"ALB"
"60",1998,0.721360307533331,0.0474,0.5586,0.2218,"ALB"
"61",1999,0.721425739823275,0.0474,0.5588,0.2219,"ALB"
"62",2000,0.721360307533331,0.0474,0.5586,0.2218,"ALB"
"63",2001,0.721669092397846,0.0473,0.5591,0.2221,"ALB"
"64",2002,0.722414588936658,0.0472,0.5607,0.2236,"ALB"
"65",2003,0.722075992408378,0.0473,0.5601,0.223,"ALB"
"66",2004,0.721715445861676,0.0473,0.5592,0.2221,"ALB"
"67",2005,0.721589904865809,0.0474,0.559,0.222,"ALB"
"68",2006,0.721425739823275,0.0474,0.5588,0.2219,"ALB"
"69",2007,0.721303612699529,0.0474,0.5584,0.2215,"ALB"
"70",2008,0.721770562566931,0.0474,0.5596,0.2226,"ALB"
"71",2009,0.721669092397846,0.0473,0.5591,0.2221,"ALB"
"72",2010,0.721360307533331,0.0474,0.5586,0.2218,"ALB"
"73",2011,0.721485595121436,0.0474,0.5589,0.222,"ALB"
"74",2012,0.721636435277247,0.0474,0.5593,0.2222,"ALB"
"75",2013,0.723214068998189,0.0472,0.562,0.2248,"ALB"
"76",2014,0.72418246351296,0.0471,0.5637,0.2263,"ALB"
"77",2015,0.724115072495749,0.0471,0.5637,0.2263,"ALB"
"78",2016,0.72397194421022,0.0471,0.5633,0.226,"ALB"
"79",2017,0.72430219540334,0.0471,0.564,0.2265,"ALB"
"80",2018,0.724428050999535,0.047,0.5641,0.2265,"ALB"
"81",2019,0.724428050999535,0.047,0.5641,0.2265,"ALB"
"82",2020,0.724428050999535,0.047,0.5641,0.2265,"ALB"
"83",2021,0.724428050999535,0.047,0.5641,0.2265,"ALB"
"84",2022,0.724841301236225,0.0467,0.5643,0.2266,"ALB"
"85",1995,0.721116277181096,0.0474,0.5581,0.2212,"ARM"
"86",1996,0.721386879511471,0.0474,0.5585,0.2217,"ARM"
