"","Year","Wealth_Gini","Country"
"1",1995,0.856427860992795,"ARE"
"2",1996,0.856253120849516,"ARE"
"3",1997,0.857074882832194,"ARE"
"4",1998,0.86173753945485,"ARE"
"5",1999,0.857161436316829,"ARE"
"6",2000,0.857939051713032,"ARE"
"7",2001,0.859147583465273,"ARE"
"8",2002,0.860730646440174,"ARE"
"9",2003,0.861968652701933,"ARE"
"10",2004,0.863899183748146,"ARE"
"11",2005,0.865137989050538,"ARE"
"12",2006,0.866779447064289,"ARE"
"13",2007,0.869672150310265,"ARE"
"14",2008,0.8732384894723,"ARE"
"15",2009,0.877169323695199,"ARE"
"16",2010,0.876155722930775,"ARE"
"17",2011,0.87665314427062,"ARE"
"18",2012,0.876204280768548,"ARE"
"19",2013,0.876665355070429,"ARE"
"20",2014,0.876298313645378,"ARE"
"21",2015,0.876886218426023,"ARE"
"22",2016,0.876492155633599,"ARE"
"23",2017,0.876898369664843,"ARE"
"24",2018,0.876898369664843,"ARE"
"25",2019,0.876504332002895,"ARE"
"26",2020,0.876516639762031,"ARE"
"27",2021,0.876540964006949,"ARE"
"28",2022,0.877931201864783,"ARE"
"29",1995,0.735715923018503,"AFG"
"30",1996,0.734931960758544,"AFG"
"31",1997,0.735654226994725,"AFG"
"32",1998,0.736826595844406,"AFG"
"33",1999,0.735578681183242,"AFG"
"34",2000,0.736826595844406,"AFG"
"35",2001,0.737188872049913,"AFG"
"36",2002,0.738040178545404,"AFG"
"37",2003,0.737136997842015,"AFG"
"38",2004,0.738733580787198,"AFG"
"39",2005,0.739560232744978,"AFG"
"40",2006,0.740258879550183,"AFG"
"41",2007,0.738014008411241,"AFG"
"42",2008,0.737381704853021,"AFG"
"43",2009,0.737535492702293,"AFG"
"44",2010,0.737381704853021,"AFG"
"45",2011,0.735190544879003,"AFG"
"46",2012,0.735578681183242,"AFG"
"47",2013,0.735654226994725,"AFG"
"48",2014,0.734660915361616,"AFG"
"49",2015,0.734917477450765,"AFG"
"50",2016,0.736930315685086,"AFG"
"51",2017,0.73756170245295,"AFG"
"52",2018,0.737578446941583,"AFG"
"53",2019,0.73756170245295,"AFG"
"54",2020,0.73756170245295,"AFG"
"55",2021,0.73756170245295,"AFG"
"56",2022,0.738118390065708,"AFG"
"57",1995,0.720588111458511,"ALB"
"58",1996,0.720588111458511,"ALB"
"59",1997,0.721303612699529,"ALB"
"60",1998,0.721360307533331,"ALB"
"61",1999,0.721425739823275,"ALB"
"62",2000,0.721360307533331,"ALB"
"63",2001,0.721669092397846,"ALB"
"64",2002,0.722414588936658,"ALB"
"65",2003,0.722075992408378,"ALB"
"66",2004,0.721715445861676,"ALB"
"67",2005,0.721589904865809,"ALB"
"68",2006,0.721425739823275,"ALB"
"69",2007,0.721303612699529,"ALB"
"70",2008,0.721770562566931,"ALB"
"71",2009,0.721669092397846,"ALB"
"72",2010,0.721360307533331,"ALB"
"73",2011,0.721485595121436,"ALB"
"74",2012,0.721636435277247,"ALB"
"75",2013,0.723214068998189,"ALB"
"76",2014,0.72418246351296,"ALB"
"77",2015,0.724115072495749,"ALB"
"78",2016,0.72397194421022,"ALB"
"79",2017,0.72430219540334,"ALB"
"80",2018,0.724428050999535,"ALB"
"81",2019,0.724428050999535,"ALB"
"82",2020,0.724428050999535,"ALB"
"83",2021,0.724428050999535,"ALB"
"84",2022,0.724841301236225,"ALB"
"85",1995,0.721116277181096,"ARM"
"86",1996,0.721386879511471,"ARM"
"87",1997,0.72151344584617,"ARM"
"88",1998,0.721669092397846,"ARM"
"89",1999,0.721743228389656,"ARM"
"90",2000,0.721924030238966,"ARM"
"91",2001,0.722587718714678,"ARM"
"92",2002,0.723100323324346,"ARM"
"93",2003,0.723243383350265,"ARM"
"94",2004,0.724092475491958,"ARM"
"95",2005,0.72460620255832,"ARM"
"96",2006,0.724865056207605,"ARM"
"97",2007,0.725269723725404,"ARM"
"98",2008,0.72530127412918,"ARM"
"99",2009,0.724454299527281,"ARM"
"100",2010,0.724115072495749,"ARM"
"101",2011,0.724519205169045,"ARM"
"102",2012,0.725215679956278,"ARM"
"103",2013,0.72530127412918,"ARM"
"104",2014,0.725717170049407,"ARM"
"105",2015,0.725269723725404,"ARM"
"106",2016,0.72471045076189,"ARM"
"107",2017,0.724880864945433,"ARM"
"108",2018,0.725563410267583,"ARM"
"109",2019,0.725515995880386,"ARM"
"110",2020,0.725515995880386,"ARM"
"111",2021,0.725501547955304,"ARM"
"112",2022,0.725993095447819,"ARM"
"113",1995,0.756408960982867,"AGO"
"114",1996,0.781116184566088,"AGO"
"115",1997,0.811898896817695,"AGO"
"116",1998,0.845739641038563,"AGO"
"117",1999,0.869441795791147,"AGO"
"118",2000,0.887647910277508,"AGO"
"119",2001,0.879192786140578,"AGO"
"120",2002,0.866484471814573,"AGO"
"121",2003,0.854531560448464,"AGO"
"122",2004,0.837449664767149,"AGO"
"123",2005,0.824457317151229,"AGO"
"124",2006,0.797424427540392,"AGO"
"125",2007,0.782126820643214,"AGO"
"126",2008,0.768796692948399,"AGO"
"127",2009,0.779815147393975,"AGO"
"128",2010,0.791339368175358,"AGO"
"129",2011,0.806170572614576,"AGO"
"130",2012,0.826822550509831,"AGO"
"131",2013,0.844977355585286,"AGO"
"132",2014,0.863516213490357,"AGO"
"133",2015,0.870151109205608,"AGO"
"134",2016,0.879913342963278,"AGO"
"135",2017,0.888174366688077,"AGO"
"136",2018,0.893275841742138,"AGO"
"137",2019,0.891986366826529,"AGO"
"138",2020,0.889853036602858,"AGO"
"139",2021,0.887195374173871,"AGO"
"140",2022,0.888786270288136,"AGO"
"141",1995,0.775524525324158,"ARG"
