"","country","year","Wealth_Gini","Wealth_Share_bottom50","Wealth_Share_top10","Wealth_Share_top1","IncomePost_Gini","IncomePre_Gini","IncomeDispPost_Share_bottom50","IncomeDispPost_Share_top10","IncomeDispPost_Share_top1","iso3c"
"1","AL",1996,0.720588111458511,0.0477,0.5576,0.2208,0.414144396369494,0.467629898442844,0.2011,1,0.0679,"ALB"
"2","AL",1997,0.721303612699529,0.0474,0.5584,0.2215,0.418510822411149,0.472384922038199,0.198,1,0.0711,"ALB"
"3","AL",1998,0.721360307533331,0.0474,0.5586,0.2218,0.421683934606999,0.473137673639415,0.1954,1,0.0727,"ALB"
"4","AL",1999,0.721425739823275,0.0474,0.5588,0.2219,0.42352198504853,0.47502051066609,0.1935,1,0.0739,"ALB"
"5","AL",2000,0.721360307533331,0.0474,0.5586,0.2218,0.420739545280154,0.473845210368399,0.1938,1,0.0716,"ALB"
"6","AL",2001,0.721669092397846,0.0473,0.5591,0.2221,0.421242878105251,0.477382752075345,0.1936,1,0.0709,"ALB"
"7","AL",2002,0.722414588936658,0.0472,0.5607,0.2236,0.422882182735415,0.481698122595151,0.1919,1,0.0724,"ALB"
"8","AL",2003,0.722075992408378,0.0473,0.5601,0.223,0.42139259724292,0.48123889401962,0.1933,1,0.0729,"ALB"
"9","AL",2004,0.721715445861676,0.0473,0.5592,0.2221,0.416950426209837,0.477519233448182,0.1959,1,0.0717,"ALB"
"10","AL",2005,0.721589904865809,0.0474,0.559,0.222,0.440135296062865,0.461435099828075,0.1971,1,0.0712,"ALB"
"11","AL",2006,0.721425739823275,0.0474,0.5588,0.2219,0.440237218341756,0.460387965134814,0.1966,1,0.0705,"ALB"
"12","AL",2007,0.721303612699529,0.0474,0.5584,0.2215,0.443652578797138,0.456031716487063,0.1977,1,0.0698,"ALB"
"13","AL",2008,0.721770562566931,0.0474,0.5596,0.2226,0.435536958394685,0.461486760609621,0.1977,1,0.0729,"ALB"
"14","AL",2009,0.721669092397846,0.0473,0.5591,0.2221,0.433305159544842,0.459100614349053,0.1997,1,0.0722,"ALB"
"15","AL",2010,0.721360307533331,0.0474,0.5586,0.2218,0.434328869896199,0.46010405269625,0.2003,1,0.0724,"ALB"
