"","Country","Country_Name","Year","TaxRev_Income_IPC_1000","TaxRev_Social_SSC_2000","TaxRev_Payroll_PW_3000","TaxRev_Property_4000","TaxRev_ImmovProp_4100","TaxRev_NetWealth_4200","TaxRev_EIG_4300","TaxRev_GoodsServices_5000","TaxRev_Others_6000","TaxRev_TotalofGDP","Wealth_Gini","Wealth_Share_bottom50","Wealth_Share_top10","Wealth_Share_top1","v2peedueq","v2x_corr","v2x_libdem","Unemployment_rate","GDP_constant_billions","GDP_current_billions","welfare_regime"
"1","AUS","Australia",2007,59.444,0,4.731,8.977,4.503,0,0,26.848,0,29.409,0.721475188135699,0.0474,0.5588,0.222,2.322,0.032,0.836,4.381,1094.08960242235,855.007458585224,"Liberal"
"2","AUS","Australia",2009,55.657,0,5.224,9.629,5.641,0,0,29.489,0,25.402,0.721360307533331,0.0474,0.5586,0.2218,2.322,0.032,0.847,5.565,1154.77518148075,928.76212269805,"Liberal"
"3","AUS","Australia",2011,58.904,0,5.25,8.682,5.366,0,0,27.165,0,25.786,0.722584230731997,0.0472,0.5605,0.2255,2.322,0.032,0.861,5.083,1208.92428185558,1398.70132302963,"Liberal"
"4","AUS","Australia",2013,57.067,0,5.151,9.492,5.474,0,0,28.29,0,26.974,0.726614593825957,0.0464,0.5672,0.2341,1.829,0.035,0.838,5.663,1289.03642512218,1577.30184020001,"Liberal"
"5","AUS","Australia",2008,58.933,0,5.133,8.279,5.241,0,0,27.654,0,26.727,0.721217897758436,0.0476,0.5585,0.2228,2.322,0.032,0.847,4.242,1133.32614986916,1056.11242719038,"Liberal"
"6","AUS","Australia",2004,58.308,0,4.411,8.706,4.528,0,0,28.574,0,30.134,0.721116277181096,0.0474,0.5581,0.2212,2.322,0.032,0.836,5.399,994.663065408582,614.659980082515,"Liberal"
"7","AUS","Australia",2005,58.953,0,4.518,8.617,4.458,0,0,27.913,0,29.835,0.72151344584617,0.0473,0.5587,0.2218,2.322,0.032,0.835,5.036,1026.03612362681,695.69289867656,"Liberal"
"8","AUS","Australia",2010,56.674,0,5.184,9.39,5.58,0,0,28.752,0,25.151,0.721383434146077,0.0474,0.5587,0.2218,2.322,0.032,0.857,5.214,1180.48669061143,1148.89020029242,"Liberal"
"9","AUS","Australia",2012,57.956,0,5.201,8.737,5.292,0,0,28.106,0,26.82,0.724851979231715,0.047,0.5647,0.232,2.322,0.032,0.861,5.225,1256.29488727941,1547.64983573289,"Liberal"
"10","AUS","Australia",2006,58.782,0,4.616,9.193,4.647,0,0,27.41,0,29.284,0.722768146553577,0.0472,0.5613,0.2241,2.322,0.032,0.835,4.785,1054.30647891088,748.417562769636,"Liberal"
"11","AUS","Australia",1995,55.361,0,6.825,8.799,4.673,0,0,29.015,0,28.213,0.719375058413419,0.0479,0.5557,0.2193,2.322,0.032,0.849,8.473,707.771815356074,368.166023166023,"Liberal"
"12","AUS","Australia",2016,57.321,0,4.917,10.757,5.939,0,0,27.005,0,27.519,0.723623162492174,0.0471,0.5626,0.2268,1.829,0.033,0.845,5.711,1389.33653209002,1207.58090157872,"Liberal"
"13","AUS","Australia",1997,56.57,0,6.689,9.197,4.591,0,0,27.543,0,28.611,0.719522025647905,0.0479,0.556,0.2195,2.322,0.032,0.841,8.367,763.88627817232,435.642611296586,"Liberal"
"14","AUS","Australia",2021,61.512,0,4.321,10.89,5.36,0,0,23.277,0,29.482,0.728304398998858,0.0463,0.57,0.2386,1.501,0.029,0.804,5.116,1521.23199873521,1559.03375628513,"Liberal"
"15","AUS","Australia",1998,58.949,0,4.677,9.001,4.402,0,0,27.372,0,29.373,0.719612819011445,0.0479,0.5561,0.2196,2.322,0.032,0.841,7.684,799.508217490112,399.674421759479,"Liberal"
"16","AUS","Australia",2003,56.392,0,4.355,9.468,4.457,0,0,29.785,0,29.833,0.720625415322303,0.0477,0.5577,0.2209,2.322,0.032,0.836,5.933,954.34832189394,467.739079790332,"Liberal"
"17","AUS","Australia",2020,58.947,0,4.47,10.083,5.841,0,0,26.499,0,28.368,0.725695243125813,0.0467,0.5659,0.2306,1.829,0.029,0.81,6.456,1489.77056379011,1330.3815449093,"Liberal"
"18","AUS","Australia",2014,57.802,0,5.164,10.26,5.682,0,0,26.774,0,27.174,0.726584393525201,0.0464,0.5672,0.2343,1.829,0.034,0.828,6.078,1322.64677417219,1468.59769000622,"Liberal"
"19","AUS","Australia",2015,56.724,0,5.069,10.672,5.784,0,0,27.535,0,27.796,0.724577183900237,0.047,0.5644,0.2293,1.829,0.034,0.839,6.055,1351.76894513911,1351.76894513911,"Liberal"
"20","AUS","Australia",2000,57.94,0,4.481,8.766,4.222,0,0,28.813,0,30.38,0.721171519871831,0.0474,0.5582,0.2214,2.322,0.032,0.849,6.288,872.633840587072,416.167815092908,"Liberal"
"21","AUS","Australia",2017,58.694,0,4.852,10.065,5.761,0,0,26.389,0,28.546,0.725927650483442,0.0465,0.5661,0.2312,1.829,0.027,0.844,5.592,1421.55120867645,1326.882104817,"Liberal"
"22","AUS","Australia",2018,60.097,0,4.832,9.533,5.868,0,0,25.538,0,28.622,0.727100987298797,0.0465,0.5682,0.2348,1.829,0.032,0.832,5.3,1462.86664866766,1429.73366818591,"Liberal"
"23","AUS","Australia",2019,59.174,0,4.682,9.835,6.159,0,0,26.309,0,27.729,0.726901679899356,0.0465,0.5678,0.2341,1.829,0.029,0.791,5.159,1494.77336635199,1394.67132596057,"Liberal"
"24","AUS","Australia",2001,56.223,0,4.504,8.802,4.365,0,0,30.471,0,28.859,0.720049273832402,0.0478,0.5566,0.22,2.322,0.032,0.845,6.747,890.30578685639,379.629301675108,"Liberal"
"25","AUS","Australia",1999,59.909,0,4.586,9.193,4.281,0,0,26.311,0,29.803,0.720588111458511,0.0477,0.5576,0.2208,2.322,0.032,0.84,6.876,839.704672154942,389.652212056649,"Liberal"
"26","AUS","Australia",1996,56.307,0,6.75,8.989,4.596,0,0,27.954,0,28.854,0.719330988811265,0.0479,0.5556,0.2192,2.322,0.032,0.849,8.509,735.119653575813,401.341880620728,"Liberal"
"27","AUS","Australia",2002,56.158,0,4.362,8.973,4.361,0,0,30.507,0,29.736,0.720588111458511,0.0477,0.5576,0.2208,2.322,0.032,0.836,6.375,925.736696479946,395.788696012059,"Liberal"
"28","AUT","Austria",2007,29.804,33.395,6.31,1.365,0.544,0,0.135,28.319,0.806,40.548,0.795374915476231,0.0075,0.6129,0.2328,1.643,0.083,0.8,4.909,364.484726093492,389.185571506052,"Cons"
"29","AUT","Austria",1996,27.643,34.566,6.575,1.422,0.606,0.053,0.115,29.013,0.782,42.641,0.791440689007366,0.008,0.6061,0.223,1.643,0.088,0.78,5.291,274.886456416226,237.250948791266,"Cons"
"30","AUT","Austria",2020,27.779,36.809,6.515,1.369,0.537,0,0,27.1,0.429,42.086,0.769174662527575,0.0281,0.6127,0.2951,2.431,0.07,0.756,5.201,386.49230260855,435.049316955737,"Cons"
"31","AUT","Austria",2008,30.611,33.034,6.515,1.262,0.535,0,0.112,27.794,0.784,41.391,0.796545303969822,0.0074,0.615,0.2364,1.643,0.083,0.799,4.198,369.807747327812,432.051935642945,"Cons"
"32","AUT","Austria",2021,29.51,35.415,6.455,1.455,0.506,0,0,26.743,0.422,43.284,0.771683779114198,0.0278,0.6169,0.3028,2.015,0.114,0.751,6.459,402.871331324597,479.295362747047,"Cons"
"33","AUT","Austria",2013,28.814,33.922,6.871,1.695,0.533,0,0.014,28.024,0.674,42.635,0.777906830426986,0.0196,0.6061,0.2802,1.643,0.059,0.797,5.367,375.650886015,430.190979705962,"Cons"
"34","AUT","Austria",2017,28.279,34.863,6.624,1.256,0.521,0,0,28.463,0.515,41.871,0.768791725445425,0.0281,0.612,0.2932,1.643,0.069,0.771,5.561,398.368950204699,417.261151844977,"Cons"
"35","AUT","Austria",2018,29.332,34.806,6.397,1.29,0.496,0,0.005,27.698,0.476,42.261,0.770633939110667,0.0279,0.6151,0.2987,1.643,0.075,0.754,4.933,408.030932405258,454.991174096102,"Cons"
"36","AUT","Austria",1995,26.129,35.649,6.884,1.483,0.628,0.08,0.113,29.038,0.818,41.271,0.791217416091717,0.0081,0.6058,0.2227,1.643,0.088,0.774,4.353,268.57616842157,241.038283062645,"Cons"
"37","AUT","Austria",2016,27.978,34.711,6.966,1.308,0.516,0,0.002,28.535,0.502,41.753,0.771152215430533,0.0251,0.6072,0.2875,1.643,0.059,0.767,6.064,389.570224508691,395.837353031499,"Cons"
