"","Country","Country_Name.x","Year","TaxRev_Income_IPC_1000","TaxRev_Social_SSC_2000","TaxRev_Payroll_PW_3000","TaxRev_Property_4000","TaxRev_ImmovProp_4100","TaxRev_NetWealth_4200","TaxRev_EIG_4300","TaxRev_GoodsServices_5000","TaxRev_Others_6000","TaxRev_TotalofGDP","wealth_gini","wealth_share_bottom50","wealth_share_top10","wealth_share_top1","Country_Name.y","e_peedgini","v2peedueq","v2x_corr","v2x_libdem","v2elfrfair","v2x_civlib","v2elpubfin"
"1","AUS","Australia",1995,55.361,0,6.825,8.799,4.673,0,0,29.015,0,28.213,0.719375058413419,0.0479,0.5557,0.2193,"Australia",9.163,2.322,0.032,0.849,1.691,0.952,1.772
"2","AUS","Australia",1996,56.307,0,6.75,8.989,4.596,0,0,27.954,0,28.854,0.719330988811265,0.0479,0.5556,0.2192,"Australia",8.359,2.322,0.032,0.849,1.667,0.952,1.772
"3","AUS","Australia",1997,56.57,0,6.689,9.197,4.591,0,0,27.543,0,28.611,0.719522025647905,0.0479,0.556,0.2195,"Australia",7.538,2.322,0.032,0.841,1.667,0.95,1.772
"4","AUS","Australia",1998,58.949,0,4.677,9.001,4.402,0,0,27.372,0,29.373,0.719612819011445,0.0479,0.5561,0.2196,"Australia",7.323,2.322,0.032,0.841,1.703,0.95,1.772
"5","AUS","Australia",1999,59.909,0,4.586,9.193,4.281,0,0,26.311,0,29.803,0.720588111458511,0.0477,0.5576,0.2208,"Australia",7.333,2.322,0.032,0.84,1.703,0.949,1.772
"6","AUS","Australia",2000,57.94,0,4.481,8.766,4.222,0,0,28.813,0,30.38,0.721171519871831,0.0474,0.5582,0.2214,"Australia",7.317,2.322,0.032,0.849,1.703,0.954,1.772
"7","AUS","Australia",2001,56.223,0,4.504,8.802,4.365,0,0,30.471,0,28.859,0.720049273832402,0.0478,0.5566,0.22,"Australia",7.227,2.322,0.032,0.845,1.678,0.954,1.772
"8","AUS","Australia",2002,56.158,0,4.362,8.973,4.361,0,0,30.507,0,29.736,0.720588111458511,0.0477,0.5576,0.2208,"Australia",7.18,2.322,0.032,0.836,1.678,0.952,1.772
"9","AUS","Australia",2003,56.392,0,4.355,9.468,4.457,0,0,29.785,0,29.833,0.720625415322303,0.0477,0.5577,0.2209,"Australia",7.083,2.322,0.032,0.836,1.678,0.952,1.772
"10","AUS","Australia",2004,58.308,0,4.411,8.706,4.528,0,0,28.574,0,30.134,0.721116277181096,0.0474,0.5581,0.2212,"Australia",6.987,2.322,0.032,0.836,1.65,0.952,1.772
"11","AUS","Australia",2005,58.953,0,4.518,8.617,4.458,0,0,27.913,0,29.835,0.72151344584617,0.0473,0.5587,0.2218,"Australia",6.877,2.322,0.032,0.835,1.65,0.952,1.772
"12","AUS","Australia",2006,58.782,0,4.616,9.193,4.647,0,0,27.41,0,29.284,0.722768146553577,0.0472,0.5613,0.2241,"Australia",6.779,2.322,0.032,0.835,1.65,0.952,1.772
"13","AUS","Australia",2007,59.444,0,4.731,8.977,4.503,0,0,26.848,0,29.409,0.721475188135699,0.0474,0.5588,0.222,"Australia",6.676,2.322,0.032,0.836,2.059,0.952,1.772
"14","AUS","Australia",2008,58.933,0,5.133,8.279,5.241,0,0,27.654,0,26.727,0.721217897758436,0.0476,0.5585,0.2228,"Australia",6.585,2.322,0.032,0.847,2.059,0.956,1.772
"15","AUS","Australia",2009,55.657,0,5.224,9.629,5.641,0,0,29.489,0,25.402,0.721360307533331,0.0474,0.5586,0.2218,"Australia",6.398,2.322,0.032,0.847,2.059,0.956,1.772
"16","AUS","Australia",2010,56.674,0,5.184,9.39,5.58,0,0,28.752,0,25.151,0.721383434146077,0.0474,0.5587,0.2218,"Australia",6.335,2.322,0.032,0.857,2.201,0.955,1.608
"17","AUS","Australia",2011,58.904,0,5.25,8.682,5.366,0,0,27.165,0,25.786,0.722584230731997,0.0472,0.5605,0.2255,"Australia",NA,2.322,0.032,0.861,2.201,0.955,1.608
"18","AUS","Australia",2012,57.956,0,5.201,8.737,5.292,0,0,28.106,0,26.82,0.724851979231715,0.047,0.5647,0.232,"Australia",NA,2.322,0.032,0.861,2.201,0.952,1.608
"19","AUS","Australia",2013,57.067,0,5.151,9.492,5.474,0,0,28.29,0,26.974,0.726614593825957,0.0464,0.5672,0.2341,"Australia",NA,1.829,0.035,0.838,2.213,0.946,1.608
"20","AUS","Australia",2014,57.802,0,5.164,10.26,5.682,0,0,26.774,0,27.174,0.726584393525201,0.0464,0.5672,0.2343,"Australia",NA,1.829,0.034,0.828,2.213,0.947,1.608
"21","AUS","Australia",2015,56.724,0,5.069,10.672,5.784,0,0,27.535,0,27.796,0.724577183900237,0.047,0.5644,0.2293,"Australia",NA,1.829,0.034,0.839,2.213,0.948,1.608
"22","AUS","Australia",2016,57.321,0,4.917,10.757,5.939,0,0,27.005,0,27.519,0.723623162492174,0.0471,0.5626,0.2268,"Australia",NA,1.829,0.033,0.845,2.022,0.948,1.608
"23","AUS","Australia",2017,58.694,0,4.852,10.065,5.761,0,0,26.389,0,28.546,0.725927650483442,0.0465,0.5661,0.2312,"Australia",NA,1.829,0.027,0.844,2.022,0.935,1.741
"24","AUS","Australia",2018,60.097,0,4.832,9.533,5.868,0,0,25.538,0,28.622,0.727100987298797,0.0465,0.5682,0.2348,"Australia",NA,1.829,0.032,0.832,2.022,0.934,1.741
"25","AUS","Australia",2019,59.174,0,4.682,9.835,6.159,0,0,26.309,0,27.729,0.726901679899356,0.0465,0.5678,0.2341,"Australia",NA,1.829,0.029,0.791,1.37,0.931,1.621
"26","AUS","Australia",2020,58.947,0,4.47,10.083,5.841,0,0,26.499,0,28.368,0.725695243125813,0.0467,0.5659,0.2306,"Australia",NA,1.829,0.029,0.81,1.37,0.931,1.621
"27","AUS","Australia",2021,61.512,0,4.321,10.89,5.36,0,0,23.277,0,29.482,0.728304398998858,0.0463,0.57,0.2386,"Australia",NA,1.501,0.029,0.804,1.37,0.92,1.621
"28","AUT","Austria",1995,26.129,35.649,6.884,1.483,0.628,0.08,0.113,29.038,0.818,41.271,0.791217416091717,0.0081,0.6058,0.2227,"Austria",6.959,1.643,0.088,0.774,1.674,0.94,2.843
"29","AUT","Austria",1996,27.643,34.566,6.575,1.422,0.606,0.053,0.115,29.013,0.782,42.641,0.791440689007366,0.008,0.6061,0.223,"Austria",6.631,1.643,0.088,0.78,1.674,0.949,2.843
"30","AUT","Austria",1997,28.495,33.824,6.419,1.327,0.59,0.027,0.11,29.123,0.813,43.44,0.792080605274149,0.0079,0.6071,0.2239,"Austria",6.283,1.643,0.088,0.78,1.674,0.949,2.843
"31","AUT","Austria",1998,28.803,33.623,6.367,1.316,0.582,0.008,0.122,28.97,0.92,43.447,0.79289562384246,0.0077,0.6084,0.225,"Austria",5.941,1.643,0.088,0.778,1.677,0.949,2.843
"32","AUT","Austria",1999,28.199,33.797,6.4,1.329,0.586,0.008,0.136,29.466,0.81,43.09,0.792078598798248,0.0081,0.6075,0.2266,"Austria",6.545,1.643,0.088,0.778,1.705,0.949,2.843
"33","AUT","Austria",2000,28.291,33.778,6.408,1.336,0.583,0.001,0.123,29.335,0.852,42.285,0.792918929004507,0.0077,0.6085,0.225,"Austria",6.259,1.643,0.097,0.785,1.705,0.949,2.843
"34","AUT","Austria",2001,31.031,32.456,6.198,1.3,0.563,0,0.171,28.196,0.819,43.886,0.791865079728222,0.008,0.6068,0.2236,"Austria",5.594,1.643,0.111,0.785,1.705,0.949,2.843
"35","AUT","Austria",2002,29.334,32.925,6.339,1.246,0.574,0,0.153,29.287,0.868,42.697,0.792787158452629,0.0078,0.6082,0.2248,"Austria",4.929,1.643,0.111,0.785,1.689,0.949,2.843
"36","AUT","Austria",2003,29.132,33.224,6.365,1.284,0.587,0,0.16,29.173,0.823,42.409,0.795163903293727,0.0073,0.612,0.2287,"Austria",4.349,1.643,0.1,0.782,1.689,0.949,2.843
